#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
3734308	203228	6880	128456	112743	-	AD-004	C9orf72	TAF9	ALSFTD|FTDALS	MGC:5067|STAF31/32|TAF2G|TAFII-31|TAFII-32|TAFII31|TAFII32|TAFIID32	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734309	203228	102157402	128456	3194050	-	-	C9orf72	AK6	ALSFTD|FTDALS	AD-004|CGI-137|CINAP|CIP|hCINAP	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734310	203228	23077	128456	116709	-	AC001226.5	C9orf72	MYCBP2	ALSFTD|FTDALS	PAM	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734311	203228	5609	128456	111595	-	-	C9orf72	MAP2K7	ALSFTD|FTDALS	JNKK2|MAPKK7|MEK|MEK 7|MKK7|PRKMK7|SAPKK-4|SAPKK4	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734312	203228	9276	128456	114693	-	-	C9orf72	COPB2	ALSFTD|FTDALS	beta-COP	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734313	203228	3836	128456	110034	-	-	C9orf72	KPNA1	ALSFTD|FTDALS	IPOA5|NPI-1|RCH2|SRP1	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734314	203228	80020	128456	123074	-	RP5-1119A7.4	C9orf72	FOXRED2	ALSFTD|FTDALS	ERFAD	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734315	203228	2547	128456	108822	-	CTA-216E10.7	C9orf72	XRCC6	ALSFTD|FTDALS	CTC75|CTCBF|G22P1|KU70|ML8|TLAA	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734316	203228	2193	128456	108487	-	-	C9orf72	FARSA	ALSFTD|FTDALS	CML33|FARSL|FARSLA|FRSA|PheHA	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734317	203228	58477	128456	121810	-	PSEC0230	C9orf72	SRPRB	ALSFTD|FTDALS	APMCF1	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734318	203228	25939	128456	117436	-	RP1-132F21.1	C9orf72	SAMHD1	ALSFTD|FTDALS	CHBL2|DCIP|HDDC1|MOP-5|SBBI88	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734319	203228	90007	128456	124652	-	-	C9orf72	MIDN	ALSFTD|FTDALS	-	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
